CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
646,1,35,6,84026.86,1,0,1,164255.69,False
714,1,46,1,0.0,1,1,0,152167.79,True
782,1,39,8,0.0,2,1,1,33949.67,False
807,1,42,7,118274.71,1,1,1,25885.72,False
799,0,22,8,174185.98,2,0,1,192633.85,False
675,1,40,7,113208.86,2,1,0,34577.36,False
475,0,32,8,119023.28,1,1,0,100816.29,False
583,1,27,7,0.0,2,1,0,51285.49,False
681,1,38,3,0.0,2,1,1,112491.96,False
773,1,25,2,135903.33,1,1,0,73656.38,False
714,0,31,4,125169.26,1,1,1,106636.89,False
511,1,58,0,149117.31,1,1,1,162599.51,False
627,1,33,5,0.0,2,1,1,103737.82,False
694,0,31,10,0.0,2,1,0,160990.27,False
687,1,35,8,0.0,2,1,0,10334.05,False
712,0,33,6,0.0,2,1,1,190686.16,False
553,1,33,4,118082.89,1,0,0,94440.45,False
667,1,31,1,119266.69,1,1,1,28257.63,False
731,1,43,2,0.0,1,1,1,170034.95,True
614,1,50,4,137104.47,1,1,0,127166.49,True
652,0,80,4,0.0,2,1,1,188603.07,False
642,1,38,3,0.0,2,0,0,171463.83,False
559,1,49,2,147069.78,1,1,0,120540.83,True
429,1,24,4,95741.75,1,1,0,46170.75,False
680,0,30,8,141441.75,1,1,1,16278.97,False
749,1,40,1,139290.41,1,1,0,182855.42,True
763,0,31,4,0.0,2,0,0,50404.72,False
734,1,30,3,0.0,2,1,0,107640.25,False
716,1,35,4,144428.87,1,1,0,134132.65,False
594,1,35,2,0.0,2,1,0,103480.69,False
644,0,46,9,95441.27,1,1,0,108761.05,True
656,1,50,7,0.0,2,0,1,72143.44,False
485,1,29,7,182123.79,1,1,0,116828.51,True
649,1,33,2,0.0,2,1,0,2010.98,False
659,1,31,4,118342.26,1,0,0,161574.19,False
543,1,22,8,0.0,2,0,0,127587.22,False
718,0,25,7,0.0,2,1,0,30380.12,False
840,0,43,7,0.0,2,1,0,90908.95,False
582,1,39,5,0.0,2,1,1,129892.93,False
613,0,45,1,187841.99,2,1,1,147224.27,False
539,1,30,0,0.0,2,1,0,160979.66,False
737,1,41,1,101960.74,1,1,1,123547.28,False
520,1,58,3,0.0,2,0,1,32790.02,False
648,0,50,9,102535.57,1,1,1,189543.19,False
640,1,68,9,0.0,2,1,1,199493.38,False
593,0,29,2,152265.43,1,1,0,34004.44,False
769,0,39,8,0.0,1,0,1,21016.0,False
483,0,50,9,0.0,2,1,1,111020.24,False
690,1,36,7,101583.11,2,1,0,123775.15,False
560,0,66,9,0.0,1,1,1,15928.49,False
544,0,21,10,161525.96,2,1,0,9262.77,False
557,1,33,3,54503.55,1,1,1,371.05,False
701,0,39,9,0.0,2,0,1,145894.9,False
616,0,66,1,135842.41,1,1,0,183840.51,True
605,1,52,1,63349.75,1,1,0,108887.44,False
685,1,23,8,0.0,2,1,1,112239.03,False
718,1,36,9,0.0,1,1,0,45909.87,False
850,1,38,1,0.0,2,1,1,80006.65,False
556,0,39,9,89588.35,1,1,1,94898.1,False
643,0,46,6,0.0,2,0,0,106781.59,False
605,0,28,6,0.0,2,0,0,159508.52,False
586,0,38,2,0.0,2,1,0,87168.46,False
678,0,35,4,0.0,1,1,0,125518.32,False
596,1,39,9,0.0,1,1,0,48963.59,False
648,1,26,9,162923.85,1,1,0,98368.24,False
702,1,45,0,80793.58,1,1,1,27474.81,False
683,1,33,8,0.0,1,0,0,73564.44,False
762,0,51,3,99286.98,1,0,1,85578.63,False
516,1,35,10,104088.59,2,0,0,119666.0,False
800,0,38,2,168190.33,2,1,0,68052.08,False
626,0,35,3,0.0,1,0,0,80190.36,False
790,0,31,9,0.0,2,1,0,84126.75,False
534,0,34,7,121551.58,2,1,1,70179.0,False
745,1,46,2,122220.19,1,1,1,118024.1,False
748,0,26,1,77780.29,1,0,1,183049.41,False
722,1,37,2,0.0,1,0,0,120906.83,False
501,1,40,4,125832.2,1,1,1,100433.83,False
675,0,38,6,68065.8,1,0,0,138777.0,True
850,1,40,9,0.0,2,0,1,119232.33,False
758,0,39,6,127357.76,1,0,1,56577.0,False
506,1,36,5,0.0,2,1,0,164253.35,False
733,1,33,3,0.0,1,1,1,7666.73,False
711,1,38,3,0.0,2,1,0,68487.51,False
539,1,39,3,0.0,2,1,0,36692.17,False
662,0,32,4,133950.37,1,1,1,48725.68,True
608,1,33,9,89968.69,1,1,0,68777.26,False
536,1,35,8,0.0,2,1,0,64833.28,False
753,1,35,3,0.0,2,1,1,184843.77,False
703,1,37,1,149762.08,1,1,0,20629.4,True
774,1,26,2,93844.69,1,1,0,28415.36,False
785,1,28,8,0.0,2,1,0,77231.27,False
571,0,33,1,0.0,2,1,0,102750.7,False
611,0,40,8,100812.33,2,1,0,147358.27,False
569,1,38,7,0.0,1,1,1,108469.2,False
658,1,29,4,80262.6,1,1,1,20612.82,False
525,0,23,5,0.0,2,1,0,160249.1,False
798,1,37,8,0.0,3,0,0,110783.28,False
730,0,35,0,155470.55,1,1,1,53718.28,False
641,1,37,7,0.0,2,1,0,75248.3,False
542,1,39,3,135096.77,1,1,1,14353.43,True
692,1,30,2,0.0,2,0,1,130486.57,False
710,0,41,2,156067.05,1,1,1,9983.88,False
639,0,38,4,81550.94,2,0,1,118974.77,False
531,0,47,6,0.0,1,0,0,194998.34,True
673,0,38,2,170061.92,2,0,0,134901.34,True
622,0,32,6,169089.38,2,1,0,101057.95,False
806,1,40,5,80613.93,1,1,1,142838.64,False
570,0,58,8,0.0,1,0,1,116503.92,True
692,1,54,5,0.0,2,1,1,88721.84,False
774,1,60,5,85891.55,1,1,0,74135.48,True
584,1,31,5,0.0,2,1,0,31474.27,False
733,1,22,5,0.0,2,1,1,117202.19,False
734,1,34,6,133598.4,1,1,1,13107.24,False
605,0,51,3,136188.78,1,1,1,67110.59,True
468,0,56,10,0.0,3,0,1,62256.87,True
698,1,48,4,101238.24,2,0,1,177815.87,True
707,1,58,6,89685.92,1,0,1,126471.13,False
850,0,35,1,211774.31,1,1,0,188574.12,True
850,1,56,7,131317.48,1,1,1,119175.45,False
661,1,48,3,120320.54,1,0,0,96463.25,False
776,0,31,2,0.0,2,1,1,112349.51,False
701,1,43,2,0.0,2,1,1,165303.79,False
610,1,26,8,0.0,2,1,0,166031.08,False
673,1,30,1,64097.75,1,1,1,77783.35,False
729,1,32,6,93694.42,1,1,1,79919.13,False
550,0,40,7,114354.95,1,1,0,54018.93,False
608,1,59,1,0.0,1,1,0,70649.64,True
833,1,37,8,151226.18,2,1,1,136129.49,False
622,1,26,9,0.0,2,1,1,153237.59,False
597,0,42,4,64740.12,1,1,1,106841.12,False
504,0,49,7,0.0,3,0,1,87822.14,True
587,1,38,0,0.0,2,1,0,47414.15,False
508,1,49,7,122451.46,2,1,1,75808.1,False
749,1,24,1,0.0,3,1,1,47911.03,False
417,1,34,7,0.0,2,1,0,55003.79,False
509,0,46,1,0.0,1,1,0,71244.59,True
543,1,36,4,0.0,2,1,1,141210.5,False
761,1,31,7,0.0,3,1,1,166698.18,False
601,1,44,1,100486.18,2,1,1,62678.53,False
651,1,45,1,0.0,1,1,0,67740.08,True
745,1,35,9,92566.53,2,1,0,161519.77,False
546,0,27,8,0.0,2,1,1,14858.1,False
755,1,30,4,123217.66,2,0,1,144183.1,False
593,0,41,6,0.0,1,1,0,65170.66,False
701,1,39,2,0.0,2,1,1,82526.92,False
760,0,51,2,100946.71,1,0,0,179614.8,True
725,1,44,5,0.0,1,1,1,117356.14,False
526,1,36,1,0.0,1,1,0,160696.72,False
700,1,38,8,134811.3,1,1,0,1299.75,False
666,0,34,9,115897.12,1,1,1,25095.03,False
601,0,43,8,0.0,3,0,1,110916.15,True
687,0,72,9,0.0,1,0,1,69829.4,False
566,1,30,5,0.0,1,1,0,54926.51,True
702,1,37,10,150525.8,1,1,1,94728.49,False
601,1,29,9,0.0,1,1,1,80393.27,False
699,1,53,4,0.0,2,0,1,111307.98,False
584,1,28,10,0.0,2,1,0,19834.32,False
699,1,35,5,0.0,2,1,1,78397.24,False
495,1,30,10,129755.99,1,0,0,172749.65,False
650,0,27,6,0.0,2,1,0,1002.39,False
605,0,64,2,129555.7,1,1,1,13601.79,False
593,1,35,9,114193.24,1,1,0,71154.1,False
427,1,29,1,141325.56,1,1,1,93839.3,False
752,1,49,2,78653.84,1,1,0,7698.6,False
649,1,47,1,0.0,2,1,1,145593.85,False
589,0,61,1,0.0,1,1,0,61108.56,True
850,1,31,6,67996.23,2,0,0,50129.87,True
682,1,48,1,138778.15,1,0,1,168840.23,False
744,0,43,10,147832.15,1,0,1,24234.11,False
785,0,36,4,135438.4,1,0,0,190627.01,False
706,0,29,5,112564.62,1,1,0,42334.38,False
583,0,27,1,125406.58,1,1,1,110784.42,False
819,0,39,9,133102.92,1,1,0,27046.46,True
673,0,34,8,42157.08,1,1,0,20598.59,True
752,0,30,3,0.0,2,1,1,104991.28,False
578,1,38,7,82259.29,1,1,0,8996.97,False
438,0,36,4,0.0,2,1,0,64420.5,False
652,1,38,6,0.0,2,1,1,145700.22,False
629,0,49,4,0.0,2,1,1,196335.48,False
720,1,52,7,0.0,1,1,1,14781.12,False
668,1,42,3,150461.07,1,1,0,108139.23,False
544,1,64,9,113829.45,1,1,1,124341.49,False
751,0,30,6,0.0,2,1,0,15766.1,False
678,1,31,2,0.0,2,1,1,58803.28,False
695,1,46,4,0.0,2,1,1,137537.22,False
661,0,41,1,0.0,2,0,1,131300.68,False
661,1,33,9,0.0,2,1,1,84174.81,False
559,0,31,3,127070.73,1,0,1,160941.78,False
503,1,29,3,0.0,2,1,1,143954.99,False
640,0,42,5,176099.13,1,1,1,8404.73,False
667,1,42,9,0.0,2,0,1,58137.42,False
642,1,26,0,0.0,1,0,0,47472.68,False
563,0,39,5,0.0,2,1,1,17603.81,False
482,1,55,5,97318.25,1,0,1,78416.14,False
583,1,24,9,135125.28,1,0,0,89801.9,False
715,0,31,2,112212.14,2,1,1,181600.72,False
625,0,51,7,136294.97,1,1,0,38867.46,True
641,0,36,5,66392.64,1,1,0,31106.67,False
767,1,43,1,76408.85,2,1,0,77837.63,False
589,1,34,6,0.0,2,1,1,177896.92,False
796,0,45,2,109730.22,1,1,1,123882.73,False
664,1,57,6,0.0,2,1,1,15304.08,False
750,0,32,5,0.0,2,1,0,95611.47,False
669,1,30,7,95128.86,1,0,0,19799.26,False
620,1,42,4,0.0,2,1,0,6232.31,False
580,0,35,8,0.0,2,0,1,10357.03,False
686,0,34,3,123971.51,2,1,0,147794.63,False
540,1,48,0,148116.48,1,0,0,116973.48,False
501,0,41,3,144260.5,1,1,0,172114.67,False
786,1,34,9,0.0,2,1,0,144517.19,False
474,1,45,10,0.0,2,0,0,172175.9,False
621,0,43,5,0.0,1,1,1,47578.45,False
669,1,23,1,0.0,2,0,0,66088.83,False
776,0,38,2,169824.46,1,1,0,169291.7,False
694,1,36,3,97530.25,1,1,1,117140.41,False
787,0,42,10,145988.65,2,1,1,79510.37,False
580,1,37,9,0.0,2,0,1,77108.66,False
711,0,25,7,0.0,3,1,1,9679.28,False
673,0,40,5,137494.28,1,1,0,81753.92,False
499,0,57,1,0.0,1,0,0,131372.38,True
591,1,24,6,147360.0,1,1,1,25310.82,False
769,0,25,10,0.0,2,0,0,187925.75,False
497,1,47,6,0.0,1,1,1,90055.08,False
525,1,36,2,114628.4,1,0,1,168290.06,False
725,1,46,6,0.0,2,1,0,161767.38,False
692,0,28,8,95059.02,2,1,0,44420.18,False
618,0,24,7,128736.39,1,0,1,37147.61,False
546,1,24,8,156325.38,1,1,1,125381.02,False
635,1,29,7,105405.97,1,1,1,149853.89,False
611,0,49,2,88915.37,3,0,0,161435.02,True
650,1,60,8,0.0,2,1,1,102925.76,False
606,1,40,5,0.0,2,1,1,70899.27,False
844,1,18,2,160980.03,1,0,0,145936.28,False
649,1,41,0,0.0,2,0,1,130567.02,False
490,0,35,7,107749.03,1,1,1,3937.37,False
803,1,31,9,157120.86,2,1,0,141300.53,False
633,0,37,9,156091.97,1,1,0,72008.61,False
664,1,58,5,98668.18,1,1,1,60887.58,False
600,0,43,5,134022.06,1,1,0,194764.83,False
693,0,35,5,124151.09,1,1,0,88705.14,True
700,0,82,2,0.0,2,0,1,182055.36,False
531,0,63,1,114715.71,1,0,1,24506.95,True
717,1,31,4,129722.57,1,0,0,41176.6,False
589,1,32,2,0.0,2,0,1,9468.64,False
767,1,36,3,139180.2,1,0,0,123880.19,False
648,1,33,7,134944.0,1,1,1,117036.38,False
754,1,28,8,0.0,2,1,1,52615.62,False
639,1,27,8,0.0,2,1,0,192247.35,False
774,0,28,1,71264.02,2,0,1,68759.57,False
517,1,41,2,0.0,2,0,1,75937.47,False
571,0,35,8,0.0,2,0,0,84569.13,False
688,1,26,1,0.0,2,1,1,104435.94,False
698,1,36,2,82275.35,2,1,1,93249.26,False
611,1,49,3,0.0,2,1,1,142917.54,False
654,1,29,1,0.0,1,1,0,180345.44,False
702,0,46,9,98444.19,1,0,1,109563.28,False
683,0,35,6,187530.66,2,1,1,37976.36,False
605,1,52,7,0.0,2,1,1,173952.5,False
850,1,39,4,127771.35,2,0,1,151738.54,False
793,0,33,0,0.0,1,0,0,175544.02,False
628,1,69,5,0.0,2,1,1,181964.6,False
657,0,37,6,95845.6,1,1,0,122218.23,False
618,0,35,10,0.0,2,1,0,180439.75,False
700,0,26,2,0.0,2,0,0,50051.42,False
745,1,25,5,157993.15,2,1,0,146041.45,False
696,1,29,8,0.0,2,1,0,191166.09,False
720,0,43,6,137824.03,2,1,0,172557.77,False
841,0,36,5,156021.31,1,0,0,122662.98,False
680,0,47,5,0.0,2,1,1,179843.33,False
577,0,39,10,0.0,2,1,0,10553.31,False
684,0,34,6,0.0,2,1,1,130928.22,False
633,0,30,6,0.0,2,0,0,41642.29,False
559,1,34,2,137390.11,2,1,0,9677.0,False
507,1,36,4,83543.37,1,0,0,140134.43,False
818,0,31,1,186796.37,1,0,0,178252.63,False
640,1,44,3,137148.68,1,1,0,92381.01,False
505,1,49,7,80001.23,1,0,0,135180.11,False
468,0,42,5,0.0,2,1,0,125305.34,False
705,1,25,0,97544.29,1,0,1,59887.15,False
653,0,43,6,0.0,2,1,1,7330.59,False
675,0,57,8,0.0,2,0,1,95463.29,False
598,1,64,1,0.0,2,1,0,195635.3,True
667,1,43,8,190227.46,1,1,0,97508.04,True
548,0,32,2,172448.77,1,1,0,188083.77,True
725,1,41,7,113980.21,1,1,1,116704.25,False
717,1,53,6,0.0,2,0,1,97614.87,False
594,1,38,4,0.0,2,0,0,186884.04,False
545,1,38,1,88293.13,2,1,1,24302.95,False
636,0,48,1,170833.46,1,1,0,110510.28,True
435,1,36,4,0.0,1,1,1,197015.2,False
535,0,40,8,0.0,1,1,1,27689.77,False
722,0,35,2,163943.89,2,1,1,15068.18,False
561,1,28,7,0.0,2,1,0,7797.01,False
645,0,38,5,101430.3,2,0,1,4400.32,False
501,0,39,9,117301.66,1,0,0,182025.95,False
574,0,33,3,134348.57,1,1,0,63163.99,False
518,0,45,9,105525.65,2,1,1,73418.29,False
749,0,60,6,0.0,1,1,0,17978.68,True
679,0,43,4,0.0,3,1,0,115136.51,True
565,1,36,6,106192.1,1,1,0,149575.59,False
643,0,45,4,45144.43,1,1,0,60917.24,True
515,1,65,7,92113.61,1,1,1,142548.33,False
521,1,25,7,0.0,2,1,1,157878.67,False
585,1,42,2,0.0,2,1,1,18657.77,False
542,0,43,8,145618.37,1,0,1,10350.74,False
577,1,42,9,0.0,1,1,0,74077.91,False
703,0,51,3,0.0,3,1,1,77294.56,True
718,1,35,8,0.0,2,1,0,94820.85,False
621,0,40,6,0.0,1,1,0,155155.25,False
523,0,40,2,102967.41,1,1,0,128702.1,True
643,1,36,7,161064.64,2,0,1,84294.82,False
645,0,48,7,90612.34,1,1,1,149139.13,False
568,1,28,5,145105.64,2,1,0,185489.11,False
599,1,58,4,0.0,1,0,0,176407.15,True
672,0,45,9,0.0,1,1,1,92027.69,True
685,1,33,6,174912.72,1,1,1,43932.54,False
516,0,46,1,104947.72,1,1,0,115789.25,True
604,1,36,6,116229.85,2,1,1,79633.38,False
569,1,35,10,124525.52,1,1,1,193793.78,False
596,1,47,6,0.0,1,1,0,74835.65,False
475,1,39,6,0.0,1,1,1,56999.9,True
646,0,45,3,47134.75,1,1,1,57236.44,False
729,1,44,5,0.0,2,0,1,9200.54,False
555,1,51,5,0.0,3,1,0,189122.89,True
785,0,34,9,70302.48,1,1,1,68600.36,False
764,0,24,7,106234.02,1,0,0,115676.38,False
619,0,38,3,0.0,2,0,1,116467.35,False
775,1,52,8,109922.61,1,1,1,96823.32,True
577,0,37,4,0.0,1,1,1,79881.39,False
724,0,37,10,68598.56,1,1,0,157862.82,False
696,0,31,8,0.0,2,0,0,191074.11,False
376,0,46,6,0.0,1,1,0,157333.69,True
745,1,36,8,67226.37,1,1,0,130789.6,False
715,0,38,5,118590.41,1,1,1,5684.17,True
659,1,67,4,145981.87,1,1,1,131043.2,False
684,0,48,3,73309.38,1,0,0,21228.34,True
635,0,48,8,130796.33,2,1,1,43250.3,False
706,0,44,4,129605.99,1,0,0,69865.49,False
629,0,37,6,129101.3,1,1,1,23971.33,False
663,0,42,5,124626.07,1,1,1,78004.5,False
563,0,34,6,139810.34,1,1,1,152417.79,False
544,1,37,3,84496.71,1,0,0,79972.09,False
638,0,48,10,138333.03,1,1,1,47679.14,False
723,1,25,3,0.0,2,1,1,134509.47,False
730,1,34,5,122453.37,2,1,0,138882.98,False
586,0,43,8,132558.26,1,1,0,67046.83,True
520,0,38,4,0.0,2,1,0,56388.63,False
652,0,48,8,133297.24,1,1,0,77764.37,False
550,0,46,7,0.0,2,1,0,130590.35,False
594,1,27,0,197041.8,1,0,0,151912.49,False
668,1,32,7,0.0,2,1,1,777.37,False
773,1,25,1,124532.78,2,0,1,11723.57,False
566,1,36,1,142120.91,1,1,0,79616.37,False
722,0,49,3,168197.66,1,1,0,140765.57,True
655,1,37,5,93147.0,2,1,0,66214.13,False
615,0,35,2,97440.02,2,1,1,139816.1,False
759,0,38,1,104091.29,1,0,0,91561.91,False
788,0,43,10,0.0,2,1,1,116111.51,False
646,0,42,3,175159.9,2,0,0,67124.48,True
564,1,42,7,99824.45,1,1,1,36721.4,False
444,1,45,6,0.0,1,1,0,130009.85,True
724,1,40,10,0.0,1,1,0,127847.25,True
548,0,29,4,0.0,2,0,1,48673.18,False
676,0,37,5,89634.69,1,1,1,169583.18,True
633,1,31,1,0.0,1,1,0,48606.71,False
625,1,49,6,173434.9,1,1,0,165580.93,True
547,0,48,1,179380.74,2,0,1,69263.1,False
642,1,32,3,0.0,2,1,1,88698.83,False
718,0,25,4,108691.95,1,1,0,63030.97,False
582,0,32,4,0.0,2,1,0,59668.81,False
628,1,33,6,0.0,2,0,0,184230.23,False
730,1,39,1,116537.6,1,0,0,145679.6,False
631,0,22,3,0.0,2,0,0,30781.77,False
645,1,29,1,130131.08,2,0,1,196474.35,False
663,1,46,3,0.0,2,0,1,176276.1,False
521,1,30,2,107316.09,1,1,0,64299.82,False
625,0,24,1,0.0,2,1,1,180969.55,False
523,1,30,1,83181.29,1,1,1,138176.78,False
714,0,72,3,0.0,1,1,1,86733.61,False
722,1,30,5,0.0,2,1,0,166376.54,False
579,1,35,1,0.0,2,1,0,4460.2,False
670,0,38,4,119624.54,2,1,1,110472.12,False
726,0,48,4,0.0,1,1,0,114020.06,True
682,1,30,4,0.0,1,0,1,161465.31,False
581,0,47,1,122949.14,1,0,0,180251.68,True
850,1,38,7,80293.98,1,0,0,126555.74,False
812,1,34,5,103818.43,1,1,1,166038.27,False
723,0,20,4,0.0,2,1,1,140385.33,False
512,1,36,4,152169.12,2,0,0,38629.3,True
731,0,52,10,0.0,1,1,1,24998.75,True
594,1,57,6,0.0,1,1,0,19376.56,True
844,1,40,7,113348.14,1,1,0,31904.31,True
535,0,31,7,111855.04,2,1,1,36278.89,False
658,1,29,3,145512.84,1,1,0,20207.02,False
664,1,32,10,107209.73,1,1,1,112340.2,False
678,0,32,5,0.0,2,1,0,90284.47,False
796,1,24,8,0.0,2,1,0,61349.37,False
803,1,42,5,0.0,1,1,0,196466.83,True
712,1,36,2,100749.5,3,0,0,70758.37,True
498,0,31,10,0.0,2,1,0,13892.57,False
628,0,51,3,123981.31,2,1,1,40546.15,False
732,1,36,7,126195.81,1,1,1,133172.48,False
715,1,41,4,94267.9,1,0,1,152821.12,True
651,1,40,4,0.0,2,1,1,147715.83,False
813,1,34,0,0.0,2,1,0,43169.15,False
692,1,29,4,0.0,1,1,0,76755.99,True
543,1,36,6,0.0,2,1,0,176728.28,False
790,0,26,4,141581.71,2,0,0,98309.27,False
850,0,39,2,148586.64,1,1,1,176791.27,False
589,1,28,7,0.0,2,1,0,151645.96,False
514,0,46,3,106511.85,1,1,0,55072.32,False
678,0,38,2,0.0,2,0,0,115068.99,False
595,1,31,4,0.0,2,1,0,189995.86,False
713,0,52,0,185891.54,1,1,1,46369.57,True
690,0,42,3,92578.14,2,0,0,70810.6,False
608,0,62,8,144976.5,1,0,0,175836.03,True
519,1,42,8,0.0,2,1,1,101485.72,False
731,0,47,1,115414.19,3,0,0,191734.67,True
809,0,24,4,0.0,2,1,0,193518.76,False
